from_frame,to_frame,fen,occluded
3936,3936,rn1qr1k1/pp3ppp/2pb1p2/3P4/2B5/5Q1P/PPP2PP1/R1B2RK1,
4116,4116,rn2r1k1/ppq2ppp/2pb1p2/3P4/2B5/5Q1P/PPP2PP1/R1B2RK1,
4296,4296,rn2r1k1/ppq2ppp/2pb1p2/3P4/2B5/1Q5P/PPP2PP1/R1B2RK1,
4472,4472,rn2r1k1/p1q2ppp/2pb1p2/1p1P4/2B5/1Q5P/PPP2PP1/R1B2RK1,
4652,4652,rn2r1k1/p1q2ppp/2pb1p2/1p1P4/8/1Q1B3P/PPP2PP1/R1B2RK1,
4832,4832,rn2r1k1/2q2ppp/p1pb1p2/1p1P4/8/1Q1B3P/PPP2PP1/R1B2RK1,
5008,5008,rn2r1k1/2q2ppp/p1pb1p2/1p1P4/P7/1Q1B3P/1PP2PP1/R1B2RK1,
5188,5188,r3r1k1/2qn1ppp/p1pb1p2/1p1P4/P7/1Q1B3P/1PP2PP1/R1B2RK1,
5368,5368,r3r1k1/2qn1ppp/p1Pb1p2/1p6/P7/1Q1B3P/1PP2PP1/R1B2RK1,
5548,5548,r3r1k1/2q2ppp/p1Pb1p2/1pn5/P7/1Q1B3P/1PP2PP1/R1B2RK1,
5724,5724,r3r1k1/2q2ppp/p1Pb1p2/1pnQ4/P7/3B3P/1PP2PP1/R1B2RK1,
5904,5904,r3r1k1/2q2ppp/p1Pb1p2/1p1Q4/P7/3n3P/1PP2PP1/R1B2RK1,
6084,6084,r3r1k1/2q2ppp/p1Pb1p2/1p1Q4/P7/3P3P/1P3PP1/R1B2RK1,
6264,6264,3rr1k1/2q2ppp/p1Pb1p2/1p1Q4/P7/3P3P/1P3PP1/R1B2RK1,
6440,6440,3rr1k1/2q2ppp/p1Pb1p2/1p5Q/P7/3P3P/1P3PP1/R1B2RK1,
6620,6620,3rr1k1/2q2p1p/p1Pb1pp1/1p5Q/P7/3P3P/1P3PP1/R1B2RK1,
6800,6800,3rr1k1/2q2p1p/p1Pb1pp1/1p6/P7/3P1Q1P/1P3PP1/R1B2RK1,
6980,6980,2r1r1k1/2q2p1p/p1Pb1pp1/1p6/P7/3P1Q1P/1P3PP1/R1B2RK1,
7156,7156,2r1r1k1/2q2p1p/p1Pb1pp1/1P6/8/3P1Q1P/1P3PP1/R1B2RK1,
7336,7336,2r1r1k1/2q2p1p/2Pb1pp1/1p6/8/3P1Q1P/1P3PP1/R1B2RK1,
7516,7516,2r1r1k1/2q2p1p/2Pb1Qp1/1p6/8/3P3P/1P3PP1/R1B2RK1,
7696,7696,2r1r1k1/5p1p/2qb1Qp1/1p6/8/3P3P/1P3PP1/R1B2RK1,
7872,7872,2r1r1k1/5p1p/2qb2p1/1p6/3Q4/3P3P/1P3PP1/R1B2RK1,
8052,8052,3rr1k1/5p1p/2qb2p1/1p6/3Q4/3P3P/1P3PP1/R1B2RK1,
8232,8232,3rr1k1/5p1p/2qb2p1/1p6/7Q/3P3P/1P3PP1/R1B2RK1,
8408,8408,3rr1k1/5p1p/3b2p1/1p1q4/7Q/3P3P/1P3PP1/R1B2RK1,
8588,8588,3rr1k1/5p1p/3b2p1/1p1q2B1/7Q/3P3P/1P3PP1/R4RK1,
8768,8768,3rr1k1/5p1p/3b2p1/1p2q1B1/7Q/3P3P/1P3PP1/R4RK1,
8948,8948,3rr1k1/5p1p/3b2p1/1p2q1B1/5P1Q/3P3P/1P4P1/R4RK1,
9124,9124,3rr1k1/5p1p/3b2p1/1p4B1/3q1P1Q/3P3P/1P4P1/R4RK1,
9304,9304,3rr1k1/5p1p/3b2p1/1p4B1/3q1P1Q/3P3P/1P4P1/R4R1K,
9484,9484,2r1r1k1/5p1p/3b2p1/1p4B1/3q1P1Q/3P3P/1P4P1/R4R1K,
9664,9664,2r1r1k1/5p1p/3b1Bp1/1p6/3q1P1Q/3P3P/1P4P1/R4R1K,
9840,9840,2r1rbk1/5p1p/5Bp1/1p6/3q1P1Q/3P3P/1P4P1/R4R1K,
10020,10020,2r1rbk1/5p1p/6p1/1p6/3B1P1Q/3P3P/1P4P1/R4R1K,
