from_frame,to_frame,fen,occluded
6808,6808,2kr4/ppp3pp/2b1Pp2/b7/2P2B2/5N1P/P3RPP1/6K1,
6968,6968,2kr4/ppp4p/2b1Pp2/b5p1/2P2B2/5N1P/P3RPP1/6K1,
7132,7132,2kr4/ppp4p/2b1Pp2/b5p1/2P5/5N1P/P2BRPP1/6K1,
7292,7292,2kr4/ppp4p/1bb1Pp2/6p1/2P5/5N1P/P2BRPP1/6K1,
7456,7456,2kr4/ppp4p/1bb1Pp2/6p1/1BP5/5N1P/P3RPP1/6K1,
7616,7616,2kr4/1pp4p/1bb1Pp2/p5p1/1BP5/5N1P/P3RPP1/6K1,
7780,7780,2kr4/1pp1B2p/1bb1Pp2/p5p1/2P5/5N1P/P3RPP1/6K1,
7940,7940,2k1r3/1pp1B2p/1bb1Pp2/p5p1/2P5/5N1P/P3RPP1/6K1,
8104,8104,2k1r3/1pp4p/1bb1PB2/p5p1/2P5/5N1P/P3RPP1/6K1,
8264,8264,2k1r3/1pp5/1bb1PB1p/p5p1/2P5/5N1P/P3RPP1/6K1,
8428,8428,2k1r3/1pp1P3/1bb2B1p/p5p1/2P5/5N1P/P3RPP1/6K1,
8588,8588,2k1r3/1pp1P3/2b2B1p/p1b3p1/2P5/5N1P/P3RPP1/6K1,
8752,8752,2k1r3/1pp1P3/2b2B1p/p1b1N1p1/2P5/7P/P3RPP1/6K1,
8912,8912,2k1r3/1pp1P3/5B1p/p1b1N1p1/b1P5/7P/P3RPP1/6K1,
9076,9076,2k1r3/1pp1P3/5B1p/p1b3p1/b1P3N1/7P/P3RPP1/6K1,
9236,9236,2k1r3/1pp1P3/5B2/p1b3pp/b1P3N1/7P/P3RPP1/6K1,
9400,9400,2k1r3/1pp1P3/5B1N/p1b3pp/b1P5/7P/P3RPP1/6K1,
9560,9560,2k1r3/1pp1P3/5B1N/p1b3pp/2P5/7P/P3RPP1/3b2K1,
9724,9724,2k1r3/1pp1P3/5B1N/p1b3pp/2P5/7P/P2R1PP1/3b2K1,
9884,9884,2k1r3/1pp1P3/5B1N/p1b3pp/b1P5/7P/P2R1PP1/6K1,
10048,10048,2kRr3/1pp1P3/5B1N/p1b3pp/b1P5/7P/P4PP1/6K1,
10208,10208,2kr4/1pp1P3/5B1N/p1b3pp/b1P5/7P/P4PP1/6K1,
10372,10372,2kQ4/1pp5/5B1N/p1b3pp/b1P5/7P/P4PP1/6K1,
